tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,codigo_provincia,provincia,codigo_canton,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion,antecedentes
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,LAS PALMAS,08D01C02S01,LAS PALMAS 1,8,ESMERALDAS,801,ESMERALDAS,"0,98068",-79.65848,URBANO,CASA/VILLA,PRIVADO,31/12/2024,12:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,42,A,MUJER,FEMENINO,AFRO,SOLTERO,ECUADOR,NINGUNA,QUEHACER. DOMESTICOS,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,PORTOVIEJO,SAN PABLO,13D01C05S02,SAN PABLO 2,13,MANABÍ,1301,PORTOVIEJO,"-105,091",-80.44389,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,52,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO PARTICULAR,BASICA,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,PORTOVIEJO,SAN PABLO,13D01C05S02,SAN PABLO 2,13,MANABÍ,1301,PORTOVIEJO,"-105,091",-80.44389,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,46,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ALBANIL,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LA PILA,13D02C14S01,LA PILA 1,13,MANABÍ,1309,MONTECRISTI,"-110,807",-80.58358,RURAL,VÍA PÚBLICA,PUBLICO,31/12/2024,03:20:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,15,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LA PILA,13D02C14S01,LA PILA 1,13,MANABÍ,1309,MONTECRISTI,"-110,807",-80.58358,RURAL,VÍA PÚBLICA,PUBLICO,31/12/2024,03:20:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,41,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,QUEHACER. DOMESTICOS,SECUNDARIA,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,SAN JUAN,13D02C11S01,SAN JUAN 1,13,MANABÍ,1308,MANTA,"-0,98435",-80.7246,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,13:18:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,CHOFER PROFESIONAL,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,VENTANAS,VENTANAS CENTRO,12D04C05S01,VENTANAS CENTRO 1,12,LOS RÍOS,1207,VENTANAS,"-144,819",-79.46277,URBANO,MECÁNICAS,PRIVADO,31/12/2024,11:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,34,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,PUERTO AGUAJE,24D02C07S01,PUERTO AGUAJE 1,24,SANTA ELENA,2403,SALINAS,"-223,493",-80.93223,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,19:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,40,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BASICA,SIN_DATO
ASESINATO,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL OESTE,03D03C03S03,TRONCAL OESTE 3,3,CAÑAR,304,LA TRONCAL,"-246,961",-79.44994,RURAL,VÍA PÚBLICA,PUBLICO,31/12/2024,02:30:00,CONSTRICTORA,CUERDA,DELINCUENCIA COMÚN,AMENAZA,ESTRANGULACION,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL OESTE,03D03C03S03,TRONCAL OESTE 3,3,CAÑAR,304,LA TRONCAL,"-246,961",-79.44994,RURAL,VÍA PÚBLICA,PUBLICO,31/12/2024,02:30:00,CONSTRICTORA,CUERDA,DELINCUENCIA COMÚN,AMENAZA,ESTRANGULACION,27,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BASICA,SIN_DATO
